Date,Price
2023-01-01,100.49671415301123
2023-01-02,100.35844985184005
2023-01-03,101.00613838994074
2023-01-04,102.52916824634876
2023-01-05,102.29501487162543
2023-01-06,102.06087791467625
2023-01-07,103.64009073018364
2023-01-08,104.40752545933655
2023-01-09,103.9380510734016
2023-01-10,104.48061111698756
2023-01-11,104.0171934241751
2023-01-12,103.55146367060485
2023-01-13,103.79342594217087
2023-01-14,101.88014569751307
2023-01-15,100.15522786500004
2023-01-16,99.59294033575907
2023-01-17,98.58010921542466
2023-01-18,98.89435654801993
2023-01-19,97.98633247249872
2023-01-20,96.57402877116343
2023-01-21,98.03967754008498
2023-01-22,97.81390123959844
2023-01-23,97.88142944428637
2023-01-24,96.4566812580729
2023-01-25,95.91229853354773
2023-01-26,96.02322112325758
2023-01-27,94.87222754583529
2023-01-28,95.24792556418096
2023-01-29,94.64728687426215
2023-01-30,94.35559312446888
2023-01-31,93.75388651223948
2023-02-01,95.60616469674842
2023-02-02,95.59266747201049
2023-02-03,94.53495654305459
2023-02-04,95.35750145515777
2023-02-05,94.13665780518676
2023-02-06,94.3455214001915
2023-02-07,92.38585127631173
2023-02-08,91.05766522741331
2023-02-09,91.25452646328243
2023-02-10,91.99299304327783
2023-02-11,92.1643613244678
2023-02-12,92.04871304207957
2023-02-13,91.74760934649028
2023-02-14,90.26908735612285
2023-02-15,89.54924314772813
2023-02-16,89.08860437676836
2023-02-17,90.14572660298727
2023-02-18,90.48934489255574
2023-02-19,88.72630473719299
2023-02-20,89.0503887065878
2023-02-21,88.66530642617147
2023-02-22,87.98838442586552
2023-02-23,88.60006071470639
2023-02-24,89.63106023720233
2023-02-25,90.56234035631853
2023-02-26,89.7231228330959
2023-02-27,89.41391045724468
2023-02-28,89.74517388864824
2023-03-01,90.7207190157706
2023-03-02,90.24154477792531
2023-03-03,90.0558858012615
2023-03-04,88.94955082725546
2023-03-05,87.7533442031748
2023-03-06,88.565870025569
2023-03-07,89.92211005413982
2023-03-08,89.85009993255949
2023-03-09,90.85363283045152
2023-03-10,91.21526885549915
2023-03-11,90.57014910089401
2023-03-12,90.93154470640243
2023-03-13,92.4695812728684
2023-03-14,92.43375523375845
2023-03-15,93.99839888957246
2023-03-16,91.37865378548271
2023-03-17,92.20055628985793
2023-03-18,92.2876033580961
2023-03-19,91.98859600763024
2023-03-20,92.08035678416574
2023-03-21,90.09278786956484
2023-03-22,89.87311598172734
2023-03-23,90.23022855323909
2023-03-24,91.7081225979806
2023-03-25,91.18985237970695
2023-03-26,90.38135877681377
2023-03-27,89.87960173322922
2023-03-28,90.7950038509313
2023-03-29,91.12375496059099
2023-03-30,90.59399475682395
2023-03-31,91.1072621899373
2023-04-01,91.20433973928534
2023-04-02,92.17298472981824
2023-04-03,91.47093163594087
2023-04-04,91.14326948934311
2023-04-05,90.75116133621096
2023-04-06,89.28764638807883
2023-04-07,89.58376666514341
2023-04-08,89.8448219373233
2023-04-09,89.84993539396577
2023-04-10,89.61534826059061
2023-04-11,88.1999775185402
2023-04-12,87.77933219577484
2023-04-13,87.43661767924807
2023-04-14,86.63434041002645
2023-04-15,86.47305469836044
2023-04-16,86.87710555517498
2023-04-17,88.7632914563855
2023-04-18,88.93786926921734
